DateID;CustomerID;TotalTimeWatched;Platform;PlayEventType;VideoTitle;TotalTimeWatched_Hours;DayOfWeekName
2021/01/26;GP1DIXV84RK8J68H7S7U7QBJ001A;1260;Leanback;LiveTV;life below zero;21;Tuesday
2021/01/26;DWDP3O481CC2DGIJERHZEZVX000J;2940;Leanback;LiveTV;Unknown;49;Tuesday
2021/01/27;9ODJ4F2AFH3WJ5TO8TEI2IV30046;3900;Web;LiveTV;Bones;65;Wednesday
2021/01/27;3VCBDCQR7KS06O3GHX5KA92O0056;420;Leanback;LiveTV;Unknown;7;Wednesday
2021/01/27;GP1DIXV84RK8J68H7S7U7QBJ001A;4380;Leanback;Other;Dolittle;73;Wednesday
2021/01/28;H9Q00LM5FAQWGG4X2XGDFKDZ002O;300;Leanback;LiveTV;American Gangster;5;Thursday
2021/01/31;ADFQJ9FVBIWSIYQ8G7PR21HX0042;600;Leanback;LiveTV;Unknown;10;Sunday
2021/02/01;ASBLG1RJA4AY24LT9402L53F000O;540;Leanback;LiveTV;South Africa Tonight;9;Monday
2021/02/02;9WEF1XUM2E8U9GG5FQ9EKLIX0038;60;Leanback;Other;68 Whiskey;1;Tuesday
2021/02/05;4J9946KCLJ9UJ8490B4G02ZS001B;4329;Leanback;Other;Bull;72.15;Friday
2021/02/05;26O4EM5C8D1Q7XASL7DB1C52003K;1680;Leanback;LiveTV;Unknown;28;Friday
2021/02/06;9O36G4K66YKUKE5JCRPHEK6D0023;120;Leanback;LiveTV;Unknown;2;Saturday
2021/02/06;1X6R2T2XG0349CUG2JASKOSD006L;60;Leanback;LiveTV;Unknown;1;Saturday
2021/02/07;ATCRGFHM5AI3984CI13R1P8H003X;4440;Leanback;LiveTV;Unknown;74;Sunday
2021/02/07;2CPUH960EORI7SOJ3IC1CGF8002P;240;Leanback;LiveTV;Unknown;4;Sunday
2021/02/07;1ZENCLN498R2DE05CGM994JY004B;2160;Leanback;LiveTV;Unknown;36;Sunday
2021/02/07;BWQY6ZCX95K6253XH2PTFQMJ0067;2586;Web;LiveTV;Unknown;43.1;Sunday
2021/02/07;9ODJ4F2AFH3WJ5TO8TEI2IV30046;415;Web;LiveTV;The Scorpion King 3: Battle For...;6.916666666666667;Sunday
2021/02/08;0YICLQ2UGFWBEWNC13Z6BANH0044;17597;Leanback;LiveTV;Sofia The First;293.28333333333336;Monday
2021/02/08;CR1G29R074Y93PVPBAXALFBQ002O;1320;Leanback;Catch Up;Suidooster;22;Monday
2021/01/25;L7ABEYZ3193JKF0YD79867KH000W;1260;Leanback;LiveTV;The South African Morning;21;Monday
2021/01/28;GIWL6RP19OMIANA407OT327A0073;960;Leanback;Catch Up;A Confession;16;Thursday
2021/01/28;1U36FLALG37JJ85B9NQEB66J005N;1380;Leanback;Other;Uzalo;23;Thursday
2021/01/29;B60C698E6LY03L3PM8P012YO005M;6840;Android;LiveTV;Unknown;114;Friday
2021/02/02;L6CLEF7NLPK4HS731JBX5ZD60013;420;Android;Catch Up;Gomora;7;Tuesday
2021/02/05;7EL1JRTNBIYT59JE16FXIXPO006N;1246;Web;Catch Up;Legacy;20.766666666666666;Friday
2021/02/05;KURTD4R8BFO90XY5K0HILPH7001X;660;Leanback;LiveTV;Minimal Margins: SA at the CWC;11;Friday
2021/02/06;F7JB8OC5CBDX0Z5P8TO13DKZ0047;4;Web;LiveTV;How She Move;0.06666666666666667;Saturday
2021/02/06;1U36FLALG37JJ85B9NQEB66J005N;720;Leanback;Other;Isibaya;12;Saturday
2021/02/08;G3KR9KR4D0NT7TZV9R5KACZ8005X;120;Leanback;LiveTV;Unknown;2;Monday
2021/02/08;H9Q00LM5FAQWGG4X2XGDFKDZ002O;829;Leanback;LiveTV;Border Security: Australia's Front...;13.816666666666666;Monday
2021/02/08;JLP8HMRSERRT7SHE2L7V8177004S;1680;Leanback;LiveTV;Unknown;28;Monday
2021/02/08;AT6U93B83VX0DKIG297HIFD1005K;960;Leanback;LiveTV;Unknown;16;Monday
2021/02/09;40BMMABF12Q7LZ0N2H2MLC6G0043;60;Android;LiveTV;Unknown;1;Tuesday
2021/02/09;GHPPD6GL2E6MDK3VJ6J4105X003A;480;Web;LiveTV;DStv Prem 20/21: Pirates v CT City;8;Tuesday
2021/01/29;EPBF04WULJ4Z3T1GEO1UIT7E006H;5820;Leanback;LiveTV;The Kelly Clarkson Show;97;Friday
2021/01/30;F24RLB2RC4Y76ERX37V67U2N001W;7440;Leanback;LiveTV;Unknown;124;Saturday
2021/01/31;9Y972RE3BM4T57QHE0I0508A003K;3840;Leanback;LiveTV;come dine with me: south africa;64;Sunday
2021/01/31;GSQ6HUQMLMCS3J8ZKCLOAJIM0049;2880;Leanback;Catch Up;The Undoing;48;Sunday
2021/01/31;0UK7J708F1A3J1EUKBG2FS2D000X;660;Leanback;LiveTV;Serie A 20/21: Inter v Benevento;11;Sunday
2021/01/31;KEFL2WL371PM3R0QBTN6I5UF000E;360;Web;LiveTV;Charlie's Angels;6;Sunday
2021/01/31;CKZZ1KBUKHAZ6K851Y205XSW004E;120;Android;Catch Up;Frozen 2;2;Sunday
2021/01/31;D9GKEJ0WEUX6LS3SJYIT5IUL001V;420;Leanback;LiveTV;Payback;7;Sunday
2021/02/03;0YICLQ2UGFWBEWNC13Z6BANH0044;2972;Leanback;LiveTV;Mr Bean: The Animated Series...;49.53333333333333;Wednesday
2021/02/06;7TA43ZJG3G7MM0XZ4SOAHL1I0029;18;Leanback;LiveTV;NEWF Short Film Festival;0.3;Saturday
2021/02/06;K2G22SWL4BOZJAPVLSCDBUD50037;2714;Web;Catch Up;Masterchef Australia;45.233333333333334;Saturday
2021/01/26;0BBMBX301IMWLZ3GLCRY3L2F005V;120;Leanback;LiveTV;Unknown;2;Tuesday
2021/01/27;IFIPM513BCIM7WA5E0SQ6YNL006X;540;Leanback;LiveTV;ALVINNN!!! And The Chipmunks;9;Wednesday
2021/01/29;1ZFLB2OXKHBLALOVIVFIDI8O0031;3660;Web;LiveTV;Kindig Customs;61;Friday
2021/01/31;8JD99KU8E2L8829SDX9A33BP0014;300;Web;LiveTV;Drain The Oceans;5;Sunday
2021/01/31;6D2Z5H92G06PF0RR27S11U8A006N;180;Leanback;LiveTV;Unknown;3;Sunday
2021/02/01;DR24KMEN24RB6CNE4CQC29C2002N;1500;Leanback;LiveTV;South Africa Tonight;25;Monday
2021/02/02;69EG35TC3VY0HNLP1MT5AOB10025;1260;Leanback;LiveTV;Unknown;21;Tuesday
2021/02/02;3QSUA7Q76YM2GHMMEWD1E563002Q;1500;Leanback;LiveTV;Unknown;25;Tuesday
2021/02/04;J9SV7TJOF4IWHK62DA5W2PU30034;1417;Leanback;Other;Lekunutu;23.616666666666667;Thursday
2021/02/04;IZMILVQDEUXP80EC6CRE34US0067;1241;Web;LiveTV;What's My Car Worth?;20.683333333333334;Thursday
2021/02/05;D15NLP17EIDCLVH5FCXSL1B40001;966;Web;Catch Up;Boer Soek 'N Vrou;16.1;Friday
2021/02/05;JLP8HMRSERRT7SHE2L7V8177004S;217;iOS;LiveTV;The Agenda;3.6166666666666667;Friday
2021/02/05;0BBMBX301IMWLZ3GLCRY3L2F005V;8820;Leanback;LiveTV;Unknown;147;Friday
2021/02/07;MB6KCV1WH21YLV6A4WCCL1UU006T;1860;Leanback;LiveTV;Unknown;31;Sunday
2021/01/25;JYOGA9HQ4XY696D39OMU9LAG000H;6240;Leanback;Other;The BFG;104;Monday
2021/01/26;C5R97LFH196UEXDXCPUB91YB004H;420;Leanback;Catch Up;Pat The Dog;7;Tuesday
2021/01/27;AM03D2RW1CBI3PAKBE4GL99L005U;60;Leanback;LiveTV;Unknown;1;Wednesday
2021/01/28;HPQACFHAKTXR7XDY4NMW4QIU0042;60;Android;Catch Up;CN To The Rescue;1;Thursday
2021/01/30;I7SNFC8FAWR3AS8HDYGDGWK0003Q;960;Android;LiveTV;Unknown;16;Saturday
2021/01/31;IZVLFJVA4RHP6JHQ4X5V4BCY006N;2280;Android;LiveTV;Unknown;38;Sunday
2021/01/31;ABJMIUBEBCI82FV064UDDSZP000A;960;Leanback;LiveTV;Unknown;16;Sunday
2021/02/01;GSQ6HUQMLMCS3J8ZKCLOAJIM0049;10500;Leanback;LiveTV;Unknown;175;Monday
2021/02/01;JYOGA9HQ4XY696D39OMU9LAG000H;960;Leanback;LiveTV;Unknown;16;Monday
2021/02/02;9CQP1WGUKE35F1YBLM02D52H000S;60;Leanback;Other;Ring Of Fire;1;Tuesday
2021/02/04;I7SNFC8FAWR3AS8HDYGDGWK0003Q;780;Android;Catch Up;Skeem Saam;13;Thursday
2021/02/04;FD7U0XYID71PAOR38LFP0GJR0013;2659;iOS;LiveTV;CNN Newsroom With Rosemary Church;44.31666666666667;Thursday
2021/01/26;7VYBH2YZ3CYJAU9Q8EPSJ01L004Y;7260;Leanback;LiveTV;Unknown;121;Tuesday
2021/01/28;ARWVIOV5HBHH26KS0YJFDBC6006N;60;iOS;Catch Up;10 Years Younger in Ten Days;1;Thursday
2021/01/29;D2SD1S8CBM19HUMYC5UCDA0T004G;4080;Android;LiveTV;Unknown;68;Friday
2021/01/30;DMMVDBZFDT1F7WL4BGWQ5KOJ000G;7200;Web;LiveTV;Big Texas Fix;120;Saturday
2021/02/01;DR24KMEN24RB6CNE4CQC29C2002N;5460;Leanback;LiveTV;Animal Fight Club;91;Monday
2021/02/03;HG64K7449Y0B537D5UX5J846001G;2;Leanback;LiveTV;Border Security: Australia's Front...;0.03333333333333333;Wednesday
2021/02/03;D2R0KH1NFK8YBXV07RZ4K5M7002S;3723;Leanback;LiveTV;Full View;62.05;Wednesday
2021/02/03;CKZZ1KBUKHAZ6K851Y205XSW004E;1080;Leanback;LiveTV;Unknown;18;Wednesday
2021/02/03;9Y972RE3BM4T57QHE0I0508A003K;3960;Leanback;LiveTV;come dine with me: south africa;66;Wednesday
2021/02/06;6YTB699B7ED24YD32SVJJ4HI0071;3060;Leanback;Catch Up;The Bachelorette Australia;51;Saturday
2021/02/06;LS7X5PVBI0THC87H45I4DEL3006Q;2280;Leanback;LiveTV;Unknown;38;Saturday
2021/02/08;F5B053XG3SOZLTN42MEVCP1J0065;1140;Leanback;LiveTV;Unknown;19;Monday
2021/01/26;9O36G4K66YKUKE5JCRPHEK6D0023;240;Leanback;LiveTV;Unknown;4;Tuesday
2021/01/26;JPVQ90TFBM1J0SLIIN5WK2UH005Z;1320;Web;LiveTV;Unknown;22;Tuesday
2021/01/27;CR5W71ZI9OMW26AA4JD2E8TF002M;10560;Leanback;LiveTV;PGA Championship HL '20: D4;176;Wednesday
